name,lon,lat
LA HALLE AUX CHAUSSURES PRIVAS,44.75868,4.83366
LA HALLE AUX CHAUSSURES MONTELIMAR,44.53213,4.74304
LA HALLE SAINT-PÃRAY - VALENCE,44.942205,4.85938
LA HALLE VALENCE,44.95254666666667,4.932243333333333
LA HALLE BOLLÃNE,44.42527,4.743575
LA HALLE AUBENAS,44.61519,4.399585
LA HALLE AUX CHAUSSURES PERIGUEUX CHANCELADE,45.19942,0.6696
LA HALLE AUX CHAUSSURES PERIGUEUX TRELISSAC,45.18991,0.76113
LA HALLE AUX CHAUSSURES RIBERAC,45.25441,0.34765
LA HALLE SOYAUX,45.635909999999996,0.20919
LA HALLE TERRASSON,45.12902,1.3253
LA HALLE AUX CHAUSSURES ANGOULEME LA COURONNE,45.622273,0.108659
LA HALLE ANGOULÃME - CHAMPNIERS,45.688135,0.17972500000000002
LA HALLE MONTPON MENESTEROL,45.00659,0.14492
LA HALLE ST JUNIEN,45.897774999999996,0.9197500000000001
LA HALLE AUX CHAUSSURES LIMOGES LANDOUGE,45.83623,1.19566
LA HALLE DE LIMOGES,45.88964166666667,1.285877
LA HALLE LIMOGES - LE VIGEN,45.780825,1.308675
LA HALLE D'USSEL,45.536485,2.301125
LA HALLE TULLE,45.274585,1.773695
LA HALLE AUX CHAUSSURES BRIVE MALEMORT,45.16843,1.5594
LA HALLE BRIVE-LA-GAILLARDE,45.151095,1.4988700000000001
LA HALLE AUBUSSON,45.94892,2.173
LA HALLE AUX CHAUSSURES GUERET,46.16617,1.88743
MONTLUÃON,46.34853,2.602315
LA HALLE LA SOUTERRAINE,46.23373,1.48292
LA HALLE AUX CHAUSSURES CHAUVIGNY,46.55616,0.62431
La HALLE POITIERS 2,46.65133,0.365395
LA HALLE LE BLANC,46.6333,1.06318
LA HALLE AUX CHAUSSURES POITIERS ST BENOIT,46.56496,0.35968
LA HALLE POITIERS,46.54968,0.296725
LA HALLE AUX CHAUSSURES MONTMORILLON,46.43084,0.8872
La HALLE TOURS FUSAPARK,47.427257755,0.70402138
LA HALLE AUX CHAUSSURES TOURS ST CYR,47.42868789,0.65734317
LA HALLE CHAUSSURES ET MAROQUINERIE TOURS ST PIERRE,47.38771274,0.75066963
LA HALLE CHAMBRAY-LÃS-TOURS,47.3355756,0.70425445
LA HALLE VOUVRAY-SUR-LOIR,47.688184425,0.43064234
LA HALLE AUX CHAUSSURES LOCHES,47.11377423,1.00304444
LA HALLE CHINON,47.18155,0.266215
LA HALLE AUX CHAUSSURES VENDOME,47.79864939,1.04790968
LA HALLE AUX CHAUSSURES BLOIS CORA,47.61945649,1.2993245
LA HALLE SAINT-GERVAIS-LA-FORÃT - BLOIS,47.56640708,1.37062323
LA HALLE AUX CHAUSSURES ISSOUDUN,46.95712,2.00234
LA HALLE ST AMAND MONTROND,46.737134999999995,2.48874
LA HALLE AUX CHAUSSURES SAUMUR,46.73411,2.49116
LA HALLE CHÃTEAUROUX - SAINT-MAUR,46.77721,1.64336
LA HALLE BOURGES - SAINT-GERMAIN-DU-PUY,47.09777252,2.4586774350000002
LA HALLE AUX CHAUSSURES AUBIGNY,47.47986477,2.42587906
